nome_munic,datahora,latitude,longitude,casos,obitos,casos_pc,obitos_pc
Botucatu,2020-03-08,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-09,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-10,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-11,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-12,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-13,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-14,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-15,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-16,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-17,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-18,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-19,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-20,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-21,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-22,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-23,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-24,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-25,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-26,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-27,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-28,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-29,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-30,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-03-31,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-04-01,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-04-02,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-04-03,-22.8837,-48.4437,0,0,0.0,0.0
Botucatu,2020-04-04,-22.8837,-48.4437,7,0,4.959790271725651,0.0
Botucatu,2020-04-05,-22.8837,-48.4437,7,0,4.959790271725651,0.0
Botucatu,2020-04-06,-22.8837,-48.4437,7,0,4.959790271725651,0.0
Botucatu,2020-04-07,-22.8837,-48.4437,8,0,5.668331739115031,0.0
Botucatu,2020-04-08,-22.8837,-48.4437,9,1,6.376873206504411,0.708541467389379
Botucatu,2020-04-09,-22.8837,-48.4437,15,1,10.6281220108407,0.708541467389379
Botucatu,2020-04-10,-22.8837,-48.4437,15,1,10.6281220108407,0.708541467389379
Botucatu,2020-04-11,-22.8837,-48.4437,15,1,10.6281220108407,0.708541467389379
Botucatu,2020-04-12,-22.8837,-48.4437,15,1,10.6281220108407,0.708541467389379
Botucatu,2020-04-13,-22.8837,-48.4437,16,1,11.3366634782301,0.708541467389379
Botucatu,2020-04-14,-22.8837,-48.4437,23,2,16.2964537499557,1.4170829347787601
Botucatu,2020-04-15,-22.8837,-48.4437,23,2,16.2964537499557,1.4170829347787601
Botucatu,2020-04-16,-22.8837,-48.4437,24,2,17.0049952173451,1.4170829347787601
Botucatu,2020-04-17,-22.8837,-48.4437,27,2,19.1306196195132,1.4170829347787601
Botucatu,2020-04-18,-22.8837,-48.4437,27,2,19.1306196195132,1.4170829347787601
Botucatu,2020-04-19,-22.8837,-48.4437,27,2,19.1306196195132,1.4170829347787601
Botucatu,2020-04-20,-22.8837,-48.4437,27,2,19.1306196195132,1.4170829347787601
Botucatu,2020-04-21,-22.8837,-48.4437,28,2,19.839161086902603,1.4170829347787601
Botucatu,2020-04-22,-22.8837,-48.4437,28,2,19.839161086902603,1.4170829347787601
Botucatu,2020-04-23,-22.8837,-48.4437,28,2,19.839161086902603,1.4170829347787601
Botucatu,2020-04-24,-22.8837,-48.4437,35,2,24.7989513586283,1.4170829347787601
Botucatu,2020-04-25,-22.8837,-48.4437,38,2,26.924575760796397,1.4170829347787601
Botucatu,2020-04-26,-22.8837,-48.4437,38,2,26.924575760796397,1.4170829347787601
Botucatu,2020-04-27,-22.8837,-48.4437,40,2,28.341658695575198,1.4170829347787601
Botucatu,2020-04-28,-22.8837,-48.4437,52,2,36.844156304247704,1.4170829347787601
Botucatu,2020-04-29,-22.8837,-48.4437,56,4,39.678322173805206,2.8341658695575203
Botucatu,2020-04-30,-22.8837,-48.4437,67,4,47.472278315088396,2.8341658695575203
Botucatu,2020-05-01,-22.8837,-48.4437,73,4,51.72352711942471,2.8341658695575203
Botucatu,2020-05-02,-22.8837,-48.4437,74,4,52.432068586814005,2.8341658695575203
Botucatu,2020-05-03,-22.8837,-48.4437,74,4,52.432068586814005,2.8341658695575203
Botucatu,2020-05-04,-22.8837,-48.4437,74,4,52.432068586814005,2.8341658695575203
Botucatu,2020-05-05,-22.8837,-48.4437,74,4,52.432068586814005,2.8341658695575203
Botucatu,2020-05-06,-22.8837,-48.4437,84,4,59.5174832607078,2.8341658695575203
Botucatu,2020-05-07,-22.8837,-48.4437,88,5,62.351649130265294,3.5427073369468904
Botucatu,2020-05-08,-22.8837,-48.4437,90,5,63.7687320650441,3.5427073369468904
Botucatu,2020-05-09,-22.8837,-48.4437,95,5,67.311439401991,3.5427073369468904
Botucatu,2020-05-10,-22.8837,-48.4437,101,5,71.5626882063273,3.5427073369468904
Botucatu,2020-05-11,-22.8837,-48.4437,101,5,71.5626882063273,3.5427073369468904
Botucatu,2020-05-12,-22.8837,-48.4437,106,5,75.1053955432742,3.5427073369468904
Botucatu,2020-05-13,-22.8837,-48.4437,121,5,85.73351755411491,3.5427073369468904
Botucatu,2020-05-14,-22.8837,-48.4437,124,5,87.859141956283,3.5427073369468904
Botucatu,2020-05-15,-22.8837,-48.4437,130,5,92.1103907606193,3.5427073369468904
Botucatu,2020-05-16,-22.8837,-48.4437,143,6,101.321429836681,4.25124880433627
Botucatu,2020-05-17,-22.8837,-48.4437,151,6,106.989761575796,4.25124880433627
Botucatu,2020-05-18,-22.8837,-48.4437,159,6,112.658093314911,4.25124880433627
Botucatu,2020-05-19,-22.8837,-48.4437,160,7,113.366634782301,4.959790271725651
Botucatu,2020-05-20,-22.8837,-48.4437,183,7,129.66308853225598,4.959790271725651
Botucatu,2020-05-21,-22.8837,-48.4437,193,7,136.74850320615,4.959790271725651
Botucatu,2020-05-22,-22.8837,-48.4437,196,7,138.874127608318,4.959790271725651
Botucatu,2020-05-23,-22.8837,-48.4437,204,7,144.54245934743298,4.959790271725651
Botucatu,2020-05-24,-22.8837,-48.4437,217,7,153.75349842349502,4.959790271725651
Botucatu,2020-05-25,-22.8837,-48.4437,218,7,154.462039890885,4.959790271725651
Botucatu,2020-05-26,-22.8837,-48.4437,218,7,154.462039890885,4.959790271725651
Botucatu,2020-05-27,-22.8837,-48.4437,238,7,168.63286923867201,4.959790271725651
Botucatu,2020-05-28,-22.8837,-48.4437,257,7,182.09515711907002,4.959790271725651
Botucatu,2020-05-29,-22.8837,-48.4437,261,7,184.929322988628,4.959790271725651
Botucatu,2020-05-30,-22.8837,-48.4437,276,7,195.557444999469,4.959790271725651
Botucatu,2020-05-31,-22.8837,-48.4437,284,7,201.225776738584,4.959790271725651
Botucatu,2020-06-01,-22.8837,-48.4437,284,7,201.225776738584,4.959790271725651
Botucatu,2020-06-02,-22.8837,-48.4437,302,7,213.979523151592,4.959790271725651
Botucatu,2020-06-03,-22.8837,-48.4437,304,7,215.396606086371,4.959790271725651
Botucatu,2020-06-04,-22.8837,-48.4437,325,7,230.275976901548,4.959790271725651
Botucatu,2020-06-05,-22.8837,-48.4437,334,8,236.65285010805303,5.668331739115031
Botucatu,2020-06-06,-22.8837,-48.4437,343,9,243.029723314557,6.376873206504411
Botucatu,2020-06-07,-22.8837,-48.4437,378,9,267.828674673185,6.376873206504411
