nome_munic,porcentagem_vacinada,doses_aplicadas,populacao,datahora,latitude,longitude,casos,obitos,casos_pc,obitos_pc
AGUAÍ,0.380239031,13935,36648,2021-06-30,-22.0572,-46.9735,3047,95,8557.06582790384,266.79397888115
GUATAPARÁ,0.379686081,2927,7709,2021-06-30,-21.4944,-48.0356,464,19,6236.55913978495,255.376344086022
PEDERNEIRAS,0.3792108,17865,47111,2021-06-30,-22.3511,-48.7781,3890,75,8536.31775290761,164.581961816985
BARUERI,0.37863471299999996,104875,276982,2021-06-30,-23.5057,-46.879,29272,1042,11071.523128711398,394.114754718408
LIMEIRA,0.378368916,116720,308482,2021-06-30,-22.566,-47.397,16150,673,5450.55686803915,227.13466081674
PEDREIRA,0.378350494,18336,48463,2021-06-30,-22.7413,-46.8948,3525,51,7572.8280484661,109.56432070121201
UBATUBA,0.377777052,34689,91824,2021-06-30,-23.4332,-45.0834,6196,118,6968.374645733051,132.709523595303
MOGI DAS CRUZES,0.377521435,170181,450785,2021-06-30,-23.5208,-46.1854,28281,1387,6532.842078516071,320.39361984731096
TAUBATÉ,0.377409056,119984,317915,2021-06-30,-23.0104,-45.5593,24679,691,8029.320570924741,224.817071782041
ROSEIRA,0.377372466,4076,10801,2021-06-30,-22.8938,-45.307,1415,23,13296.3728622439,216.124788573576
SALTO,0.37714638899999997,45158,119736,2021-06-30,-23.1996,-47.2931,10183,312,8826.2316679957,270.429566965988
CAJATI,0.37709693299999997,10745,28494,2021-06-30,-24.7324,-48.1223,3214,97,11085.816777041899,334.57505518763804
ELIAS FAUSTO,0.375947814,6743,17936,2021-06-30,-23.0428,-47.3682,1297,33,7477.22817940736,190.245589761328
RIBEIRA,0.375675676,1251,3330,2021-06-30,-24.6517,-49.0044,353,2,10888.3405305367,61.6903146206046
NIPOÃ,0.375613439,1990,5298,2021-06-30,-20.9114,-49.7833,473,15,9519.0179110485,301.871603944456
PINDAMONHANGABA,0.37524392799999995,63841,170132,2021-06-30,-22.9246,-45.4613,11417,265,6978.13716681641,161.969549724652
MOGI GUAÇU,0.374540132,57317,153033,2021-06-30,-22.3675,-46.9428,16513,491,11132.9849991573,331.029833136693
EUCLIDES DA CUNHA PAULISTA,0.374477212,3492,9325,2021-06-30,-22.5545,-52.5928,327,9,3428.75117961623,94.3692985215477
PEREIRAS,0.37433033200000004,3284,8773,2021-06-30,-23.0804,-47.972,1045,20,12399.145704793502,237.304224015187
BIRIGUI,0.37401407700000006,46708,124883,2021-06-30,-21.291,-50.3432,15025,509,12383.6840326715,419.52047737968695
SÃO MIGUEL ARCANJO,0.37391673200000003,12340,33002,2021-06-30,-23.8782,-47.9935,1903,58,5946.875,181.25
QUEIROZ,0.373410405,1292,3460,2021-06-30,-21.7969,-50.2415,346,3,10551.9975602318,91.4913083257091
SANDOVALINA,0.37299035399999997,1624,4354,2021-06-30,-22.4551,-51.7648,313,8,7432.91379719782,189.978627404417
ITAJU,0.372781065,1449,3887,2021-06-30,-21.9857,-48.8116,517,8,14148.877941981398,218.93814997263303
DOIS CÓRREGOS,0.372637395,10252,27512,2021-06-30,-22.3673,-48.3819,1491,38,5527.954916209399,140.886845617678
TABATINGA,0.372506609,6200,16644,2021-06-30,-21.7239,-48.6896,1807,49,11366.924576964198,308.234258036107
ALTAIR,0.37243191600000003,1559,4186,2021-06-30,-20.5242,-49.0571,202,12,5004.95540138751,297.324083250743
CACONDE,0.372402546,7079,19009,2021-06-30,-21.528,-46.6437,1295,33,6868.5690039249,175.029171528588
BIRITIBA MIRIM,0.37217634200000005,12258,32936,2021-06-30,-23.5698,-46.0407,1397,91,4319.9950522604995,281.40268414868
ILHABELA,0.371020764,13205,35591,2021-06-30,-23.7785,-45.3552,6722,39,20083.657006274298,116.522258739169
PALESTINA,0.37049455200000003,4862,13123,2021-06-30,-20.39,-49.4309,622,31,5115.131578947371,254.934210526316
GUAIÇARA,0.370017895,4549,12294,2021-06-30,-21.6195,-49.8013,1285,22,10755.8382857621,184.146647693982
NOVA ODESSA,0.369824135,22543,60956,2021-06-30,-22.7832,-47.2941,5926,175,10210.3757818019,301.521390788952
NOVA EUROPA,0.36891237299999996,4189,11355,2021-06-30,-21.7765,-48.5705,707,28,6577.35603311936,260.489347846311
CORDEIRÓPOLIS,0.36659147700000005,9101,24826,2021-06-30,-22.4778,-47.4519,4980,70,20446.707176876298,287.403514534406
LUIZIÂNIA,0.36652433799999995,2146,5855,2021-06-30,-21.6737,-50.3294,260,10,4518.59575947167,173.792144595064
JUMIRIM,0.36629608,1252,3418,2021-06-30,-23.0884,-47.7868,497,6,15033.2728372656,181.488203266788
SANTA MARIA DA SERRA,0.36626042299999995,2284,6236,2021-06-30,-22.5661,-48.1593,702,8,11431.3629702003,130.271942680345
ATIBAIA,0.365679307,52690,144088,2021-06-30,-23.1171,-46.5563,10577,245,7576.32193458734,175.49388994742299
JACUPIRANGA,0.36514058899999996,6532,17889,2021-06-30,-24.6963,-48.0064,1512,46,8779.46812216932,267.100220648008
